produk,tanggal,harga,qty,ln_P,ln_Q
L,2021-08-09,1800.0,90,7.495541943884256,4.499809670330265
L,2021-08-10,1800.0,90,7.495541943884256,4.499809670330265
L,2021-08-11,1800.0,210,7.495541943884256,5.3471075307174685
L,2021-08-12,1800.0,90,7.495541943884256,4.499809670330265
L,2021-08-13,1800.0,180,7.495541943884256,5.19295685089021
L,2021-08-14,1800.0,60,7.495541943884256,4.0943445622221
L,2021-08-16,1800.0,100,7.495541943884256,4.605170185988092
L,2021-08-17,1800.0,110,7.495541943884256,4.700480365792417
L,2021-08-18,1800.0,100,7.495541943884256,4.605170185988092
L,2021-08-19,1800.0,120,7.495541943884256,4.787491742782046
L,2021-08-20,1800.0,90,7.495541943884256,4.499809670330265
L,2021-08-21,1800.0,70,7.495541943884256,4.248495242049359
L,2021-08-23,1800.0,60,7.495541943884256,4.0943445622221
L,2021-08-24,1800.0,130,7.495541943884256,4.867534450455582
L,2021-08-25,1800.0,110,7.495541943884256,4.700480365792417
L,2021-08-26,1800.0,70,7.495541943884256,4.248495242049359
L,2021-08-27,1800.0,80,7.495541943884256,4.382026634673881
L,2021-08-28,1800.0,120,7.495541943884256,4.787491742782046
L,2021-08-30,1800.0,50,7.495541943884256,3.912023005428146
L,2021-08-31,1800.0,110,7.495541943884256,4.700480365792417
L,2021-09-01,1800.0,140,7.495541943884256,4.941642422609304
L,2021-09-02,1800.0,40,7.495541943884256,3.6888794541139363
L,2021-09-03,1800.0,120,7.495541943884256,4.787491742782046
L,2021-09-04,1800.0,60,7.495541943884256,4.0943445622221
L,2021-09-06,1800.0,140,7.495541943884256,4.941642422609304
L,2021-09-07,1800.0,60,7.495541943884256,4.0943445622221
L,2021-09-08,1800.0,150,7.495541943884256,5.0106352940962555
L,2021-09-09,1800.0,90,7.495541943884256,4.499809670330265
L,2021-09-10,1800.0,90,7.495541943884256,4.499809670330265
L,2021-09-11,1800.0,100,7.495541943884256,4.605170185988092
L,2021-09-13,1800.0,20,7.495541943884256,2.995732273553991
L,2021-09-15,1800.0,240,7.495541943884256,5.480638923341991
L,2021-09-16,1800.0,140,7.495541943884256,4.941642422609304
L,2021-09-17,1800.0,100,7.495541943884256,4.605170185988092
L,2021-09-18,1800.0,40,7.495541943884256,3.6888794541139363
L,2021-09-20,1800.0,100,7.495541943884256,4.605170185988092
L,2021-09-21,1800.0,140,7.495541943884256,4.941642422609304
L,2021-09-22,1800.0,70,7.495541943884256,4.248495242049359
L,2021-09-23,1800.0,110,7.495541943884256,4.700480365792417
L,2021-09-24,1800.0,110,7.495541943884256,4.700480365792417
L,2021-09-25,1800.0,110,7.495541943884256,4.700480365792417
L,2021-09-27,1800.0,40,7.495541943884256,3.6888794541139363
L,2021-09-28,1800.0,130,7.495541943884256,4.867534450455582
L,2021-09-30,1800.0,160,7.495541943884256,5.075173815233827
L,2021-10-01,1800.0,190,7.495541943884256,5.247024072160486
L,2021-10-02,1800.0,80,7.495541943884256,4.382026634673881
L,2021-10-04,1800.0,140,7.495541943884256,4.941642422609304
L,2021-10-05,1800.0,130,7.495541943884256,4.867534450455582
L,2021-10-06,1800.0,70,7.495541943884256,4.248495242049359
L,2021-10-07,1800.0,160,7.495541943884256,5.075173815233827
L,2021-10-08,1800.0,100,7.495541943884256,4.605170185988092
L,2021-10-09,1800.0,50,7.495541943884256,3.912023005428146
L,2021-10-11,1800.0,150,7.495541943884256,5.0106352940962555
L,2021-10-12,1800.0,110,7.495541943884256,4.700480365792417
L,2021-10-13,1800.0,80,7.495541943884256,4.382026634673881
L,2021-10-14,1800.0,200,7.495541943884256,5.298317366548036
L,2021-10-15,1800.0,110,7.495541943884256,4.700480365792417
L,2021-10-16,1800.0,50,7.495541943884256,3.912023005428146
L,2021-10-18,1800.0,100,7.495541943884256,4.605170185988092
L,2021-10-20,1800.0,120,7.495541943884256,4.787491742782046
L,2021-10-21,1800.0,60,7.495541943884256,4.0943445622221
L,2021-10-22,1800.0,180,7.495541943884256,5.19295685089021
L,2021-10-23,1800.0,170,7.495541943884256,5.135798437050262
L,2021-10-25,1800.0,90,7.495541943884256,4.499809670330265
L,2021-10-26,1800.0,190,7.495541943884256,5.247024072160486
L,2021-10-27,1800.0,90,7.495541943884256,4.499809670330265
L,2021-10-28,1800.0,130,7.495541943884256,4.867534450455582
L,2021-10-29,1800.0,160,7.495541943884256,5.075173815233827
L,2021-10-30,1800.0,110,7.495541943884256,4.700480365792417
L,2021-11-01,1800.0,130,7.495541943884256,4.867534450455582
L,2021-11-02,1800.0,180,7.495541943884256,5.19295685089021
L,2021-11-03,1800.0,80,7.495541943884256,4.382026634673881
L,2021-11-04,1800.0,60,7.495541943884256,4.0943445622221
L,2021-11-05,1800.0,110,7.495541943884256,4.700480365792417
L,2021-11-06,1800.0,90,7.495541943884256,4.499809670330265
L,2021-11-08,1800.0,110,7.495541943884256,4.700480365792417
L,2021-11-09,1800.0,130,7.495541943884256,4.867534450455582
L,2021-11-10,1800.0,60,7.495541943884256,4.0943445622221
L,2021-11-11,1800.0,190,7.495541943884256,5.247024072160486
L,2021-11-12,1800.0,140,7.495541943884256,4.941642422609304
L,2021-11-13,1800.0,120,7.495541943884256,4.787491742782046
L,2021-11-15,1800.0,130,7.495541943884256,4.867534450455582
L,2021-11-16,1800.0,140,7.495541943884256,4.941642422609304
L,2021-11-17,1800.0,70,7.495541943884256,4.248495242049359
L,2021-11-18,1800.0,90,7.495541943884256,4.499809670330265
L,2021-11-19,1800.0,110,7.495541943884256,4.700480365792417
L,2021-11-22,1800.0,160,7.495541943884256,5.075173815233827
L,2021-11-23,1800.0,120,7.495541943884256,4.787491742782046
L,2021-11-24,1800.0,120,7.495541943884256,4.787491742782046
L,2021-11-25,1800.0,110,7.495541943884256,4.700480365792417
L,2021-11-26,1800.0,130,7.495541943884256,4.867534450455582
L,2021-11-27,1800.0,130,7.495541943884256,4.867534450455582
L,2021-11-29,1800.0,120,7.495541943884256,4.787491742782046
L,2021-11-30,1800.0,140,7.495541943884256,4.941642422609304
L,2021-12-01,1800.0,60,7.495541943884256,4.0943445622221
L,2021-12-02,1800.0,60,7.495541943884256,4.0943445622221
L,2021-12-03,1800.0,130,7.495541943884256,4.867534450455582
L,2021-12-04,1800.0,280,7.495541943884256,5.634789603169249
L,2021-12-06,1800.0,80,7.495541943884256,4.382026634673881
L,2021-12-07,1800.0,100,7.495541943884256,4.605170185988092
L,2021-12-08,1800.0,90,7.495541943884256,4.499809670330265
L,2021-12-09,1800.0,130,7.495541943884256,4.867534450455582
L,2021-12-10,1800.0,90,7.495541943884256,4.499809670330265
L,2021-12-11,1800.0,130,7.495541943884256,4.867534450455582
L,2021-12-13,1800.0,170,7.495541943884256,5.135798437050262
L,2021-12-14,1800.0,170,7.495541943884256,5.135798437050262
L,2021-12-15,1800.0,80,7.495541943884256,4.382026634673881
L,2021-12-16,1800.0,140,7.495541943884256,4.941642422609304
L,2021-12-17,1800.0,170,7.495541943884256,5.135798437050262
L,2021-12-18,1800.0,90,7.495541943884256,4.499809670330265
L,2021-12-20,1800.0,70,7.495541943884256,4.248495242049359
L,2021-12-21,1800.0,80,7.495541943884256,4.382026634673881
L,2021-12-22,1800.0,90,7.495541943884256,4.499809670330265
